Date,NVDA_Price,Strike,Contracts,Allocation,Premium,Hedge_Cost,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-12-27,29.355772018432617,27.488519948804996,1,10%,40,30,10.0,54656.1256546354,35.43404466963209,OTM,54656.1256546354,0.0
2022-01-03,27.195837020874023,27.260972773137283,1,10%,40,0,33.48642477367406,54689.612079409075,35.58308965193786,ASSIGNED,54689.612079409075,0.0
2022-01-10,26.891407012939453,25.098101673166273,1,10%,40,0,40.0,54729.612079409075,37.24897098098731,OTM,54729.612079409075,0.0
2022-01-17,23.330108642578125,24.809325291523773,1,10%,40,0,-107.92166489456486,54621.69041451451,37.332940489602095,ASSIGNED,54729.612079409075,-0.19719062641624158
2022-01-24,22.7971134185791,21.455152711797574,1,10%,40,30,10.0,54631.69041451451,38.181202801008595,OTM,54729.612079409075,-0.17891898220014396
2022-01-31,24.273332595825195,21.419179397582365,1,10%,40,0,40.0,54671.69041451451,32.43452927811829,OTM,54729.612079409075,-0.10583240533575358
2022-02-07,23.90402603149414,22.71215665829226,1,10%,40,0,40.0,54711.69041451451,33.55171677172568,OTM,54729.612079409075,-0.032745828471363196
2022-02-14,23.597606658935547,22.569449661306958,1,10%,40,0,40.0,54751.69041451451,31.10401035337804,OTM,54751.69041451451,0.0
2022-02-21,24.111637115478516,22.286779319358317,1,10%,40,30,10.0,54761.69041451451,31.022828940022503,OTM,54761.69041451451,0.0
2022-02-28,22.896825790405273,22.738492655361792,1,10%,40,0,40.0,54801.69041451451,31.426732820698913,OTM,54801.69041451451,0.0
2022-03-07,22.06226348876953,21.57593500703786,1,10%,40,0,40.0,54841.69041451451,31.639998897016408,OTM,54841.69041451451,0.0
2022-03-14,26.40782356262207,20.848535348929513,1,10%,40,0,40.0,54881.69041451451,30.868395533919127,OTM,54881.69041451451,0.0
2022-03-21,27.64470672607422,24.288247631869357,1,10%,40,30,10.0,54891.69041451451,38.15144126117271,OTM,54891.69041451451,0.0
2022-03-28,26.666379928588867,25.38542975833561,1,10%,40,0,40.0,54931.69041451451,38.5732331208945,OTM,54931.69041451451,0.0
2022-04-04,23.07952117919922,24.549142651611664,1,10%,40,0,-106.96214724124451,54824.72826727326,37.90166894766515,ASSIGNED,54931.69041451451,-0.1947184702202153
2022-04-11,21.221696853637695,21.034989096303704,1,10%,40,0,40.0,54864.72826727326,40.5522294486934,OTM,54931.69041451451,-0.12190075844371612
2022-04-18,19.48167610168457,19.457855091145266,1,10%,40,30,10.0,54874.72826727326,38.974037364994615,OTM,54931.69041451451,-0.10369633049959132
2022-04-25,18.515323638916016,17.806529098172856,1,10%,40,0,40.0,54914.72826727326,39.80208944477452,OTM,54931.69041451451,-0.030878618723092156
2022-05-02,18.643102645874023,16.97349672684397,1,10%,40,0,40.0,54954.72826727326,39.0196114214573,OTM,54954.72826727326,0.0
2022-05-09,17.675765991210938,17.08425932505237,1,10%,40,0,40.0,54994.72826727326,39.11825812644302,OTM,54994.72826727326,0.0
2022-05-16,16.66549301147461,16.187857435720186,1,10%,40,30,10.0,55004.72826727326,39.280613774547646,OTM,55004.72826727326,0.0
2022-05-23,18.778873443603516,15.27158899112279,1,10%,40,0,40.0,55044.72826727326,39.12550250985554,OTM,55044.72826727326,0.0
2022-05-30,18.688030242919922,17.01053422234775,1,10%,40,0,40.0,55084.72826727326,42.16174749800433,OTM,55084.72826727326,0.0
2022-06-06,16.94859504699707,16.9336508330002,1,10%,40,0,40.0,55124.72826727326,42.078316277790776,OTM,55124.72826727326,0.0
2022-06-13,15.856231689453125,15.76024255030981,1,10%,40,30,10.0,55134.72826727326,35.22428808169897,OTM,55134.72826727326,0.0
