Period,Ticker,Market_Type,Strategy,Description,Final_Capital,Total_Return_%,Annualized_%,Max_DD_%,Win_Rate_%,Sharpe,Total_Trades,Years,Blown_Up,Stopped_Out,Over_100%,Safe_100%
COVID_Crash_2020,AAPL,stock,Daily_Compound_Max10,"Daily compounding, max 10% of capital per trade",50259.13284439924,0.5182656887984777,1.048596108670874,-5.632678564045169,70.96774193548387,0.015756560795678436,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AAPL,stock,Daily_Momentum_50pct,Daily 50% capital only on up days,60498.127186331556,20.996254372663113,46.90280512549576,-0.9537507036193845,96.62921348314607,0.9677405343995583,89,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_Momentum_AllIn,Weekly all-in only after up weeks,61266.56573619036,22.533131472380717,55.14482520408033,0.0,100.0,1.4850328717249701,18,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_Vol_Adaptive,"Weekly, size by volatility (10-100%)",53498.1594274235,6.996318854847006,15.73725565501527,-0.16310086763875686,95.83333333333334,1.2417150452050416,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Daily_Vol_Adaptive,"Daily, size by volatility",55778.82949799752,11.557658995995036,24.695756387981916,-2.7513849669234607,87.90322580645162,0.37972352047923535,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_Kelly_Full,Weekly with full Kelly sizing,53604.78619835248,7.2095723967049565,16.23637736379009,-0.19571143167582242,87.5,0.8088923750656488,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_Kelly_Half,Weekly with half Kelly (safer),52511.27297707279,5.022545954145579,11.17233744774353,-0.09833388574059494,87.5,1.1281987160262812,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_Ladder_3strikes,"Weekly ladder: 95%, 97%, 100%",57404.81765532483,14.809635310649655,34.78070947350784,0.0,100.0,1.5638660898247718,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_MonthStart_AllIn,"Weekly all-in, only first week of month",54954.46875852171,9.908937517043421,26.46037569507356,0.0,83.33333333333334,1.0866470374718815,6,0.4024640657084189,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_Avoid_OpEx,"Weekly all-in, skip options expiry weeks",68773.33137932463,37.54666275864927,99.17011000768663,0.0,94.73684210526315,1.1782537987072845,19,0.46269678302532513,False,False,False,False
