Ticker,Stock_Name,Strategy,Description,Final_Capital,Total_Return_%,Annualized_Return_%,Max_Drawdown_%,Win_Rate_%,Avg_Win,Avg_Loss,Total_Trades,Years,Blown_Up,Over_100%
MSTR,MicroStrategy,Daily_Compounding_Beast,"Daily ATM, reinvest ALL profits, compound aggressively",1000903.2440619853,1901.8064881239707,67.25385514099369,-13.752618681666481,77.79291553133515,1262.8790088424855,-1507.0692761844584,1468,5.8261464750171115,NO,NO
MSTR,MicroStrategy,Weekly_All_In_Risk,"Weekly ATM, use 100% of capital every trade",27041973245.22088,54083846.490441754,873.203144332053,-13.025710600001819,93.1740614334471,101794963.80132978,-37405093.62710761,293,5.801505817932923,NO,YES
MSTR,MicroStrategy,Daily_Volatility_Harvester,"Daily 0.5% ITM during high vol, more contracts",493152.6926951383,886.3053853902766,48.119471854580695,-8.714589412392797,77.79291553133515,559.2929099006359,-599.8767190533347,1468,5.8261464750171115,NO,NO
QQQ,Nasdaq ETF,Daily_ATM_Aggressive,"Daily ATM puts, 2x leverage, high frequency",322164.19961510674,544.3283992302134,37.68137762948989,-15.827571043630645,76.77111716621253,423.2532805622523,-600.7104034561629,1468,5.8261464750171115,NO,NO
QQQ,Nasdaq ETF,Daily_ITM_Premium_Hunter,Daily In-the-Money puts for maximum premium,411850.44290221354,723.7008858044271,43.60935018483902,-5.224141878644205,76.77111716621253,411.99154170901124,-300.48101056845326,1468,5.8261464750171115,NO,NO
QQQ,Nasdaq ETF,Daily_Scalper_3x,"Daily trades, 3x contracts, quick gains",666789.8251599172,1233.5796503198346,55.99055259196759,-9.092021984625811,95.98092643051771,473.6609486047001,-857.6008715950011,1468,5.8261464750171115,NO,NO
QQQ,Nasdaq ETF,Weekly_Leveraged_5x,Weekly with 5x leverage - maximum aggression,565509.0549977296,1031.0181099954593,51.9097113982069,-3.2217001097791735,99.31740614334471,1784.4581770055288,-1884.1372554397303,293,5.801505817932923,NO,NO
QQQ,Nasdaq ETF,Daily_Momentum_Rider,Daily puts only when stock trending up (momentum),237204.43069890258,374.40886139780514,30.73234109475702,-3.198079527428324,90.65743944636678,296.7171979970252,-568.0899620587503,867,5.809719370294319,NO,NO
QQQ,Nasdaq ETF,Daily_High_Vol_Max_Premium,"Daily puts only when VIX>25, max contracts",388947.3837382393,677.8947674764786,42.923719238016304,-30.276683349647936,76.66174298375185,1100.800077832363,-1470.6826370680826,677,5.7440109514031485,NO,NO
QQQ,Nasdaq ETF,Daily_Close_ITM,Daily 1% ITM for higher premium,656729.5874340647,1213.4591748681296,55.58404684304223,-9.140157813987312,76.77111716621253,720.193111483363,-600.9620211369065,1468,5.8261464750171115,NO,NO
QQQ,Nasdaq ETF,Wheel_Strategy_Aggressive,"Sell puts, get assigned, sell calls (simulated)",265492.0406331249,430.98408126624975,33.346494680465,-0.012299369763217044,99.65870307167235,738.0158922833311,-8.599913607718236,293,5.801505817932923,NO,NO
QQQ,Nasdaq ETF,Daily_Range_Bound,Daily puts when stock pulls back 2%+ (buy the dip),267953.3293559747,435.9066587119494,33.90889763843952,-16.461270644007683,93.125,551.7769382998428,-869.4230928501486,480,5.749486652977413,NO,NO
QQQ,Nasdaq ETF,Daily_Compounding_Beast,"Daily ATM, reinvest ALL profits, compound aggressively",1398472.536413622,2696.945072827244,77.13683696227606,-34.83074813458125,76.77111716621253,2100.3181252706213,-2987.055691396969,1468,5.8261464750171115,NO,NO
QQQ,Nasdaq ETF,Weekly_All_In_Risk,"Weekly ATM, use 100% of capital every trade",1805447.346304992,3510.894692609984,85.56009014894393,-6.840789022885185,90.78498293515358,6809.952618790299,-2074.075936786196,293,5.801505817932923,NO,NO
QQQ,Nasdaq ETF,Daily_Volatility_Harvester,"Daily 0.5% ITM during high vol, more contracts",813520.3394597851,1527.0406789195702,61.40778169717094,-17.003988948565887,76.77111716621253,968.40264428347,-961.493960843653,1468,5.8261464750171115,NO,NO
PLTR,Palantir,Daily_ATM_Aggressive,"Daily ATM puts, 2x leverage, high frequency",90164.83834811047,80.32967669622094,15.539035181967154,-1.2816850333799206,76.36186770428014,76.12590566822995,-80.63373498539163,1028,4.082135523613963,NO,NO
PLTR,Palantir,Daily_ITM_Premium_Hunter,Daily In-the-Money puts for maximum premium,83802.87960038554,67.60575920077108,13.48645247862268,-0.6716306164716204,76.36186770428014,55.54124637084183,-40.31686749269581,1028,4.082135523613963,NO,NO
PLTR,Palantir,Daily_Scalper_3x,"Daily trades, 3x contracts, quick gains",106042.5599305231,112.08511986104621,20.222331009413175,-1.585939784573516,86.96498054474708,82.54338672148941,-132.47184924245093,1028,4.082135523613963,NO,NO
PLTR,Palantir,Weekly_Leveraged_5x,Weekly with 5x leverage - maximum aggression,110244.81507309568,120.48963014619136,21.515194446304832,-1.186208366763396,96.09756097560975,319.2486756239881,-330.8967531037557,205,4.057494866529774,NO,NO
PLTR,Palantir,Daily_Momentum_Rider,Daily puts only when stock trending up (momentum),65292.92710001341,30.58585420002682,6.788620199356554,-1.3197162192846505,79.02621722846442,56.389035663388064,-75.92183883871712,534,4.0629705681040384,NO,NO
PLTR,Palantir,Daily_High_Vol_Max_Premium,"Daily puts only when VIX>25, max contracts",130329.67669622085,160.65935339244172,26.451913123781235,-2.235046571539914,76.36186770428014,152.2518113364599,-161.26746997078325,1028,4.082135523613963,NO,NO
PLTR,Palantir,Daily_Close_ITM,Daily 1% ITM for higher premium,106197.28000803769,112.39456001607537,20.265277246911918,-1.2443710818729679,76.36186770428014,96.549398228647,-80.63373498539163,1028,4.082135523613963,NO,NO
PLTR,Palantir,Wheel_Strategy_Aggressive,"Sell puts, get assigned, sell calls (simulated)",76669.83775256583,53.33967550513166,11.110717451968588,-0.3202040361300079,98.53658536585365,133.71042670845102,-113.22281418040853,205,4.057494866529774,NO,NO
PLTR,Palantir,Daily_Range_Bound,Daily puts when stock pulls back 2%+ (buy the dip),92497.00624446216,84.99401248892433,16.26408193269682,-1.628193538032748,86.3013698630137,80.61729674711745,-121.55254910263959,803,4.082135523613963,NO,NO
PLTR,Palantir,Daily_Compounding_Beast,"Daily ATM, reinvest ALL profits, compound aggressively",250824.19174055138,401.64838348110277,48.448809259985936,-4.036571035573787,76.36186770428014,380.62952834114975,-403.16867492695826,1028,4.082135523613963,NO,NO
